Time,Flow,Stage
2015-06-11 21:00:00,480245.14599328995,28.88
2015-06-11 22:00:00,486318.6864267497,28.84
2015-06-11 23:00:00,473399.5584427899,28.69
2015-06-12 00:00:00,481070.91804797377,28.61
2015-06-12 01:00:00,480914.02009475377,28.57
2015-06-12 02:00:00,476011.5465318461,28.48
2015-06-12 03:00:00,478049.53426549106,28.41
2015-06-12 04:00:00,469223.00768258865,28.28
2015-06-12 05:00:00,471085.76135678164,28.17
2015-06-12 06:00:00,477889.2687668868,28.15
2015-06-12 07:00:00,471289.0365567302,28.09
2015-06-12 08:00:00,463038.69033501635,27.93
2015-06-12 09:00:00,469633.0618756714,27.85
2015-06-12 10:00:00,465130.95297652436,27.76
2015-06-12 11:00:00,464771.29693792685,27.67
2015-06-12 12:00:00,460993.69208905136,27.55
2015-06-12 13:00:00,458095.3373129582,27.43
2015-06-12 14:00:00,463853.1249026752,27.38
2015-06-12 15:00:00,452560.0507229641,27.23
2015-06-12 16:00:00,455533.88173629565,27.11
2015-06-12 17:00:00,465118.2865746216,27.13
2015-06-12 18:00:00,451675.4132171284,27.0
2015-06-12 19:00:00,449932.32080348977,26.86
2015-06-12 20:00:00,457034.5809948936,26.83
2015-06-12 21:00:00,448239.1434908935,26.71
2015-06-12 22:00:00,418057.1001862874,26.64
2015-06-12 23:00:00,455040.9746248818,26.58
2015-06-13 00:00:00,441947.0188585851,26.45
2015-06-13 01:00:00,452075.2465407988,26.4
2015-06-13 02:00:00,444973.90149843803,26.31
2015-06-13 03:00:00,444572.7252382505,26.21
2015-06-13 04:00:00,441870.55195638083,26.1
2015-06-13 05:00:00,447221.747639935,26.07
2015-06-13 06:00:00,440486.39990328444,25.98
2015-06-13 07:00:00,443047.88555890997,25.91
2015-06-13 08:00:00,442668.69508690934,25.86
2015-06-13 09:00:00,438810.02151412104,25.78
2015-06-13 10:00:00,444577.5351587526,25.76
2015-06-13 11:00:00,435017.5163217095,25.65
2015-06-13 12:00:00,440330.05422928627,25.6
2015-06-13 13:00:00,430712.29556684237,25.48
2015-06-13 14:00:00,442835.5877620872,25.49
2015-06-13 15:00:00,430223.21276252536,25.38
2015-06-13 16:00:00,439799.8713033845,25.36
2015-06-13 18:00:00,434785.80748264404,25.32
2015-06-13 19:00:00,436124.0188333606,25.29
2015-06-13 20:00:00,436317.93907418376,25.26
2015-06-13 21:00:00,433742.23414865014,25.21
2015-06-13 22:00:00,434019.3388270188,25.17
2015-06-13 23:00:00,438108.2175771049,25.19
2015-06-14 00:00:00,431433.20463074424,25.13
2015-06-14 01:00:00,436866.988728769,25.13
2015-06-14 02:00:00,429954.5530435042,25.06
2015-06-14 03:00:00,440044.4298424365,25.1
2015-06-14 04:00:00,436911.6003254011,25.13
2015-06-14 05:00:00,435872.353500829,25.12
2015-06-14 06:00:00,440108.774314728,25.16
2015-06-14 07:00:00,437667.73749321955,25.18
2015-06-14 08:00:00,441585.64282848145,25.23
2015-06-14 09:00:00,440583.3636027153,25.26
2015-06-14 10:00:00,443560.88453267317,25.32
2015-06-14 11:00:00,446572.29761255416,25.4
2015-06-14 12:00:00,454189.1937223507,25.56
2015-06-14 13:00:00,448003.3724961334,25.64
2015-06-14 15:00:00,462148.0036789361,25.84
2015-06-14 16:00:00,451845.53136460803,25.91
2015-06-14 17:00:00,467661.06926378177,26.12
2015-06-14 19:00:00,466531.5945334205,26.32
2015-06-14 20:00:00,466522.7166173614,26.46
2015-06-14 21:00:00,466465.76189437177,26.59
2015-06-14 22:00:00,476245.11593688827,26.71
2015-06-14 23:00:00,465878.60447635734,26.8
2015-06-15 00:00:00,466879.0173298824,26.87
2015-06-15 01:00:00,479159.3446812018,27.07
2015-06-15 02:00:00,466698.67070222733,27.12
2015-06-15 03:00:00,479236.26004293276,27.26
2015-06-15 04:00:00,475442.8196591722,27.38
2015-06-15 05:00:00,481809.0838438146,27.52
2015-06-15 06:00:00,478657.16243477067,27.62
2015-06-15 07:00:00,485459.86457366456,27.76
2015-06-15 08:00:00,478186.4719846706,27.82
2015-06-15 09:00:00,493220.00734072365,28.0
2015-06-15 10:00:00,485022.43984901765,28.1
2015-06-15 11:00:00,491200.8366439258,28.23
2015-06-15 12:00:00,489707.5006664392,28.34
2015-06-15 13:00:00,486674.70107340056,28.39
2015-06-15 15:00:00,507089.15153657063,28.64
2015-06-15 16:00:00,481962.73555524455,28.61
2015-06-15 17:00:00,508378.91402354086,28.8
2015-06-15 18:00:00,487455.7925795114,28.82
2015-06-15 20:00:00,510220.7770709314,29.0
2015-06-15 21:00:00,494968.8648080867,29.06
2015-06-15 22:00:00,510808.95511279587,29.23
2015-06-15 23:00:00,497000.9908860393,29.26
2015-06-16 00:00:00,503690.7819457592,29.33
2015-06-16 01:00:00,509165.8954193698,29.46
2015-06-16 02:00:00,511813.50445960707,29.6
2015-06-16 03:00:00,501013.26614896295,29.6
2015-06-16 04:00:00,517758.6778704873,29.76
2015-06-16 05:00:00,505965.4840544148,29.8
2015-06-16 06:00:00,516963.8404948075,29.92
2015-06-16 07:00:00,510391.02128875913,29.98
2015-06-16 09:00:00,521651.41234981414,30.12
2015-06-16 10:00:00,526616.6667945306,30.31
2015-06-16 11:00:00,516976.19962498354,30.36
2015-06-16 12:00:00,519533.00503735396,30.41
2015-06-16 14:00:00,533560.0475503764,30.61
2015-06-16 15:00:00,520893.8519764335,30.66
2015-06-16 16:00:00,521991.5217893876,30.69
2015-06-16 17:00:00,522607.05804821616,30.73
2015-06-16 18:00:00,534011.4583507456,30.88
2015-06-16 19:00:00,520510.0432638456,30.88
2015-06-16 20:00:00,537643.9674954971,31.02
2015-06-16 21:00:00,525898.9049935838,31.05
2015-06-16 22:00:00,539221.7533599875,31.19
2015-06-16 23:00:00,530151.9891759224,31.24
2015-06-17 00:00:00,545914.5876592639,31.4
2015-06-17 01:00:00,539590.1067198568,31.51
2015-06-17 02:00:00,538311.2240184157,31.56
2015-06-17 03:00:00,544982.2360678946,31.68
2015-06-17 04:00:00,539325.6128564125,31.73
2015-06-17 05:00:00,551726.9722098529,31.88
2015-06-17 06:00:00,544960.107162813,31.95
2015-06-17 07:00:00,547385.4479457611,32.02
2015-06-17 08:00:00,545064.0325477236,32.06
2015-06-17 09:00:00,544237.4881510354,32.09
2015-06-17 10:00:00,544904.7571905893,32.1
2015-06-17 11:00:00,549095.2126880905,32.17
2015-06-17 12:00:00,533570.3480036638,32.08
2015-06-17 13:00:00,558465.8669983317,32.22
2015-06-17 14:00:00,550775.8859493358,32.31
